initial_temperature,temperature_decrease,neighborhood_radius,initial_solution,best_solution,final_solution
25.0,0.8,1.0,26.10793402188943,28.24790600624793,28.265995869353834
25.0,0.8,1.0,25.446677129978927,28.24770842083528,28.27636445045162
25.0,0.8,1.0,7.926904025259065,9.307213697341085,9.29637625162327
25.0,0.8,1.0,11.5548312838487,15.62470506692988,15.531564581926357
25.0,0.8,1.0,12.96337120435097,15.703481968118258,15.703481968118258
25.0,0.8,1.0,12.271137709009205,9.315968889810852,9.315968889810852
25.0,0.8,1.0,0.1917540127116905,2.7781070430113557,2.7608028271803087
25.0,0.8,1.0,10.065327088253351,9.452887581206195,15.547972135469
25.0,0.8,1.0,24.172196742745058,28.168896104728496,28.168896104728496
25.0,0.8,1.0,29.212991764734305,28.190183914190747,28.34418880886517
25.0,0.8,1.0,2.1964409699000753,2.8471303477134655,2.8471303477134655
25.0,0.8,1.0,4.968289338219272,2.7677976220092804,2.7677976220092804
25.0,0.8,1.0,4.690528903947631,2.800011831250271,2.800011831250271
25.0,0.8,1.0,3.809792834531435,2.8041665895587977,2.7868129436369804
25.0,0.8,1.0,16.223198653839244,15.650116955489656,15.691051545851673
25.0,0.8,1.0,22.36429235901582,21.936319684606747,21.892118527248435
25.0,0.8,1.0,21.91559890814946,21.937955563353608,21.883162213306555
25.0,0.8,1.0,1.3056746530108,2.7933939195306285,2.7802274818993156
25.0,0.8,1.0,5.843407714575592,9.344159263959881,9.344159263959881
25.0,0.8,1.0,11.322144029539459,9.32375669199274,9.32375669199274
25.0,0.8,1.0,23.297054481218183,21.94424180078169,21.896055652579356
25.0,0.8,1.0,6.0836505058571015,2.805827857470221,2.805827857470221
25.0,0.8,1.0,20.776958846369844,21.963400651402342,21.963400651402342
25.0,0.8,1.0,27.547065569712238,28.24916706011576,28.150309517837908
25.0,0.8,1.0,13.701654757416614,15.688358858828442,15.839756385054399
25.0,0.8,1.0,27.892879416623103,28.21767484757404,28.28440836003699
25.0,0.8,1.0,16.009802803363034,15.637321374653624,15.663038218444514
25.0,0.8,1.0,3.571747899173118,2.798794564980536,2.778139306759698
25.0,0.8,1.0,20.982315880320254,15.64347292555201,15.6590932039836
25.0,0.8,1.0,28.295242065786976,28.25111765710138,28.171858874309322
25.0,0.8,1.0,17.219602591168748,15.629400828758476,15.672881609180436
25.0,0.8,1.0,18.202470834840014,15.624895108432511,15.534292622180068
25.0,0.8,1.0,29.974347319028727,28.24962864077371,28.267891338856394
25.0,0.8,1.0,21.978695375656326,21.928761682407902,22.034895539797134
25.0,0.8,1.0,6.291056346336257,2.817976787851241,2.817976787851241
25.0,0.8,1.0,8.919222857675324,9.346453339092571,9.165876595366967
25.0,0.8,1.0,6.802034434620317,2.8403679631859013,2.8443303913142772
25.0,0.8,1.0,4.890145236496083,2.702444499373366,2.6674037606278906
25.0,0.8,1.0,22.994691513244746,21.932152279979668,21.92189067740602
25.0,0.8,1.0,24.545298479569823,21.942547247634344,21.969663271912605
25.0,0.8,1.0,16.904384869932773,9.336655816429468,9.33979951755234
25.0,0.8,1.0,13.139612190756575,9.330144112131103,9.397066755618175
25.0,0.8,1.0,14.592339470228493,15.572604148831656,15.572604148831656
25.0,0.8,1.0,26.939543884532288,28.264258115326697,28.264258115326697
25.0,0.8,1.0,9.440138293680125,9.318785856311887,9.37200312594818
25.0,0.8,1.0,25.330229854565474,28.25564405202138,28.25564405202138
